experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
20,4-10-28-12-16-20-13-26-22-5-24-19,4-5-10-12-13-16-19-20-22-24-26-28,12,20651.555671594313,4.1860178306833475,0.0,0.0
21,22-1-11-27-8-28-10-6-19-12-0-20-9-16-26,0-1-6-8-9-10-11-12-16-19-20-22-26-27-28,15,23120.800786343174,4.686527537701875,0.0,0.0
22,15-13-8-20-22-27-11-26-28-24-3-17-19,3-8-11-13-15-17-19-20-22-24-26-27-28,13,21066.895218543443,4.270206100902061,0.0,0.0
23,21-19-3-15-26-20,3-15-19-20-21-26,6,14985.070836320067,3.0374357608889127,0.0,0.0
24,7-12-17-2-25-24-15-4-16-0-19-26-20,0-2-4-7-12-15-16-17-19-20-24-25-26,13,22080.838501415303,4.47572982651859,0.0,0.0
25,11-15-2-29-19-20-26-16,2-11-15-16-19-20-26-29,8,16879.39399324146,3.4214102487216325,0.0,0.0
26,12-22-26-9-3-2-13-19-27-29-25-24-20,2-3-9-12-13-19-20-22-24-25-26-27-29,13,22332.4395187927,4.526728713077461,0.0,0.0
27,24-20-6-17-22-19-29-26-10,6-10-17-19-20-22-24-26-29,9,18206.86773787464,3.6904858018259326,0.0,0.0
28,16-22-18-27-1-5-2-7-3-19-6-26-8-4-24-12-29-20,1-2-3-4-5-6-7-8-12-16-18-19-20-22-24-26-27-29,18,27316.828865707048,5.537051761522209,0.0,0.0
29,11-21-12-13-29-23-3-25-26-19-24-0-20,0-3-11-12-13-19-20-21-23-24-25-26-29,13,21671.183300274355,4.392693758743469,0.0,0.0
