experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
41,7-16-24-1-13-27-28-18-29-9-5-12-2,1-2-5-7-9-12-13-16-18-24-27-28-29,13,9858.209484429652,4.829600173042197,0.0,0.0
42,8-25-29-20-14-28-9-5-18-27-13-2-1-12-24,1-2-5-8-9-12-13-14-18-20-24-25-27-28-29,15,11259.41701335799,5.516060745306234,0.0,0.0
43,28-16-23-17-27-3-12-24-5-9-13-29-18-2,2-3-5-9-12-13-16-17-18-23-24-27-28-29,14,10648.41376341443,5.216726326990464,0.0,0.0
44,18-27-24-3-13-2-28-29-5-12-9,2-3-5-9-12-13-18-24-27-28-29,11,9000.829689377686,4.409564302117973,0.0,0.0
45,5-26-22-14-17-2-29-13-24-9-12,2-5-9-12-13-14-17-22-24-26-29,11,8708.886635664621,4.266539524144038,0.0,0.0
46,1-8-23-17-20-29-9-2-5-12-24-13,1-2-5-8-9-12-13-17-20-23-24-29,12,9363.479870934056,4.587228956370322,0.0,0.0
47,7-15-6-18-20-17-14-2-13-3-24-12-28-5-9-29,2-3-5-6-7-9-12-13-14-15-17-18-20-24-28-29,16,11865.346660608448,5.812909573060833,0.0,0.0
48,21-29-27-13-20-24-1-5-18-2-9-12,1-2-5-9-12-13-18-20-21-24-27-29,12,9409.458184876434,4.60975402781692,0.0,0.0
49,4-12-9-2-3-15-27-5-29-24-13,2-3-4-5-9-12-13-15-24-27-29,11,8886.79519459904,4.353698070366093,0.0,0.0
50,26-21-17-9-14-20-13-28-27-2-29-3-18-12-24-5,2-3-5-9-12-13-14-17-18-20-21-24-26-27-28-29,16,11937.144048039085,5.848083574516843,0.0,0.0
51,20-10-3-2-1-21-28-17-29-9-18-24-5-13-12,1-2-3-5-9-10-12-13-17-18-20-21-24-28-29,15,11294.476043924593,5.533236389662198,0.0,0.0
52,8-14-15-29-27-28-3-2-24-17-9-12-5-13,2-3-5-8-9-12-13-14-15-17-24-27-28-29,14,10918.51188471653,5.349049132205681,0.0,0.0
53,22-3-15-12-2-5-14-8-28-1-24-13-9-29,1-2-3-5-8-9-12-13-14-15-22-24-28-29,14,10642.850039988034,5.2140006231326455,0.0,0.0
54,19-29-1-18-14-13-0-17-2-12-11-27-24-9-3-5,0-1-2-3-5-9-11-12-13-14-17-18-19-24-27-29,16,11916.977249267242,5.838203730211238,0.0,0.0
55,3-11-13-17-18-2-9-27-24-5-12-29,2-3-5-9-11-12-13-17-18-24-27-29,12,9615.380329146094,4.710636609503659,0.0,0.0
56,17-0-18-20-2-15-5-29-24-9-12-13,0-2-5-9-12-13-15-17-18-20-24-29,12,9430.978999681904,4.620297213277998,0.0,0.0
57,16-11-9-28-25-2-3-6-27-29-1-17-5-12-13-24,1-2-3-5-6-9-11-12-13-16-17-24-25-27-28-29,16,11832.859339253346,5.796993825572803,0.0,0.0
58,25-18-24-6-11-29-1-27-14-12-5-9-13-2,1-2-5-6-9-11-12-13-14-18-24-25-27-29,14,10558.564861531097,5.172708772609137,0.0,0.0
59,17-28-3-27-1-5-18-2-12-13-9-29-24,1-2-3-5-9-12-13-17-18-24-27-28-29,13,10289.254817904184,5.040772051711001,0.0,0.0
60,18-23-12-20-14-9-27-28-29-15-2-17-24-13-3-5,2-3-5-9-12-13-14-15-17-18-20-23-24-27-28-29,16,12024.327581158908,5.890795347613871,0.0,0.0
61,14-7-24-1-17-9-3-12-20-5-18-27-2-29-13,1-2-3-5-7-9-12-13-14-17-18-20-24-27-29,15,11345.609418440643,5.558286958409088,0.0,0.0
